BV1	PV1	BV2	PV2	Particle	MajorityClass-4	BinaryClass-2
ballern	abballern	knallen	abknallen	ab	ShiftReg	Shift
bauen	abbauen	montieren	abmontieren	ab	AsymComp	Comp
bauen	abbauen	schaffen	abschaffen	ab	ShiftReg	Shift
biegen	abbiegen	drehen	abdrehen	ab	ShiftReg	Shift
biegen	abbiegen	driften	abdriften	ab	ShiftDiff	Shift
blasen	abblasen	saugen	absaugen	ab	AsymComp	Comp
blitzen	abblitzen	servieren	abservieren	ab	ShiftDiff	Shift
blitzen	abblitzen	weisen	abweisen	ab	ShiftDiff	Shift
bohren	abbohren	fräsen	abfräsen	ab	Comp	Comp
brausen	abbrausen	dampfen	abdampfen	ab	ShiftReg	Shift
brechen	abbrechen	knicken	abknicken	ab	AsymComp	Comp
brennen	abbrennen	fackeln	abfackeln	ab	ShiftReg	Shift
bringen	abbringen	halten	abhalten	ab	ShiftDiff	Shift
buchen	abbuchen	mahnen	abmahnen	ab	Comp	Comp
checken	abchecken	prüfen	abprüfen	ab	AsymComp	Comp
dampfen	abdampfen	dunsten	abdunsten	ab	AsymComp	Comp
dampfen	abdampfen	rauschen	abrauschen	ab	ShiftDiff	Shift
dampfen	abdampfen	zischen	abzischen	ab	ShiftReg	Shift
danken	abdanken	treten	abtreten	ab	ShiftDiff	Shift
drehen	abdrehen	knicken	abknicken	ab	AsymComp	Comp
driften	abdriften	kommen	abkommen	ab	ShiftDiff	Shift
drücken	abdrücken	feuern	abfeuern	ab	ShiftDiff	Shift
düsen	abdüsen	reisen	abreisen	ab	AsymComp	Comp
fahren	abfahren	reisen	abreisen	ab	AsymComp	Comp
fallen	abfallen	bröckeln	abbröckeln	ab	AsymComp	Comp
fallen	abfallen	gleiten	abgleiten	ab	ShiftDiff	Shift
federn	abfedern	schwächen	abschwächen	ab	AsymComp	Comp
fegen	abfegen	bürsten	abbürsten	ab	Comp	Comp
feilen	abfeilen	fräsen	abfräsen	ab	Comp	Comp
feilen	abfeilen	schleifen	abschleifen	ab	Comp	Comp
fertigen	abfertigen	frühstücken	abfrühstücken	ab	ShiftDiff	Shift
fertigen	abfertigen	speisen	abspeisen	ab	ShiftDiff	Shift
fertigen	abfertigen	wimmeln	abwimmeln	ab	ShiftDiff	Shift
fordern	abfordern	fragen	abfragen	ab	Comp	Comp
fressen	abfressen	nagen	abnagen	ab	Comp	Comp
frühstücken	abfrühstücken	wickeln	abwickeln	ab	ShiftDiff	Shift
füllen	abfüllen	packen	abpacken	ab	AsymComp	Comp
gewinnen	abgewinnen	ringen	abringen	ab	ShiftDiff	Shift
graben	abgraben	baggern	abbaggern	ab	Comp	Comp
grasen	abgrasen	kämmen	abkämmen	ab	ShiftDiff	Shift
grasen	abgrasen	weiden	abweiden	ab	ShiftReg	Shift
grooven	abgrooven	dancen	abdancen	ab	Comp	Comp
hängen	abhängen	koppeln	abkoppeln	ab	AsymComp	Comp
hängen	abhängen	kuppeln	abkuppeln	ab	AsymComp	Comp
hängen	abhängen	streifen	abstreifen	ab	ShiftDiff	Shift
hobeln	abhobeln	schaben	abschaben	ab	Comp	Comp
hobeln	abhobeln	schmirgeln	abschmirgeln	ab	Comp	Comp
hören	abhören	horchen	abhorchen	ab	ShiftReg	Shift
jagen	abjagen	ringen	abringen	ab	ShiftDiff	Shift
jagen	abjagen	zocken	abzocken	ab	ShiftDiff	Shift
kacken	abkacken	kotzen	abkotzen	ab	ShiftReg	Shift
kacken	abkacken	losen	ablosen	ab	AsymComp	Comp
kämmen	abkämmen	klappern	abklappern	ab	ShiftDiff	Shift
kanzeln	abkanzeln	qualifizieren	abqualifizieren	ab	AsymComp	Comp
kassieren	abkassieren	jagen	abjagen	ab	ShiftDiff	Shift
kassieren	abkassieren	ziehen	abziehen	ab	ShiftDiff	Shift
klappern	abklappern	grasen	abgrasen	ab	ShiftDiff	Shift
klappern	abklappern	klopfen	abklopfen	ab	ShiftReg	Shift
klopfen	abklopfen	streifen	abstreifen	ab	ShiftDiff	Shift
knabbern	abknabbern	nagen	abnagen	ab	Comp	Comp
knöpfen	abknöpfen	jagen	abjagen	ab	ShiftDiff	Shift
knöpfen	abknöpfen	kassieren	abkassieren	ab	ShiftDiff	Shift
knöpfen	abknöpfen	nehmen	abnehmen	ab	ShiftDiff	Shift
knöpfen	abknöpfen	zwacken	abzwacken	ab	ShiftDiff	Shift
kratzen	abkratzen	reiben	abreiben	ab	AsymComp	Comp
kratzen	abkratzen	schaben	abschaben	ab	AsymComp	Comp
kratzen	abkratzen	schmieren	abschmieren	ab	ShiftDiff	Shift
kriegen	abkriegen	bekommen	abbekommen	ab	ShiftReg	Shift
kupfern	abkupfern	pinseln	abpinseln	ab	ShiftDiff	Shift
kupfern	abkupfern	spicken	abspicken	ab	ShiftDiff	Shift
kuppeln	abkuppeln	montieren	abmontieren	ab	Comp	Comp
küssen	abküssen	knutschen	abknutschen	ab	Comp	Comp
legen	ablegen	schieben	abschieben	ab	ShiftDiff	Shift
legen	ablegen	stellen	abstellen	ab	ShiftDiff	Shift
lehnen	ablehnen	blitzen	abblitzen	ab	ShiftDiff	Shift
luchsen	abluchsen	jagen	abjagen	ab	ShiftDiff	Shift
lutschen	ablutschen	knabbern	abknabbern	ab	Comp	Comp
montieren	abmontieren	schrauben	abschrauben	ab	Comp	Comp
mühen	abmühen	plagen	abplagen	ab	Comp	Comp
nehmen	abnehmen	kaufen	abkaufen	ab	ShiftReg	Shift
nicken	abnicken	segnen	absegnen	ab	ShiftDiff	Shift
pellen	abpellen	schälen	abschälen	ab	Comp	Comp
perlen	abperlen	sickern	absickern	ab	AsymComp	Comp
pflücken	abpflücken	zupfen	abzupfen	ab	Comp	Comp
pinseln	abpinseln	gucken	abgucken	ab	ShiftDiff	Shift
pulen	abpulen	popeln	abpopeln	ab	Comp	Comp
putzen	abputzen	wischen	abwischen	ab	Comp	Comp
quetschen	abquetschen	zupfen	abzupfen	ab	Comp	Comp
rattern	abrattern	klappern	abklappern	ab	ShiftReg	Shift
räumen	abräumen	fegen	abfegen	ab	AsymComp	Comp
rauschen	abrauschen	brausen	abbrausen	ab	ShiftReg	Shift
rauschen	abrauschen	zischen	abzischen	ab	ShiftReg	Shift
rechnen	abrechnen	schließen	abschließen	ab	ShiftDiff	Shift
reisen	abreisen	segeln	absegeln	ab	Comp	Comp
ringen	abringen	knöpfen	abknöpfen	ab	ShiftDiff	Shift
rollen	abrollen	transportieren	abtransportieren	ab	Comp	Comp
rupfen	abrupfen	zupfen	abzupfen	ab	Comp	Comp
rutschen	abrutschen	stürzen	abstürzen	ab	ShiftReg	Shift
sacken	absacken	saufen	absaufen	ab	ShiftDiff	Shift
sagen	absagen	bestellen	abbestellen	ab	AsymComp	Comp
sägen	absägen	fräsen	abfräsen	ab	AsymComp	Comp
sägen	absägen	schneiden	abschneiden	ab	AsymComp	Comp
saugen	absaugen	pumpen	abpumpen	ab	Comp	Comp
schaben	abschaben	häuten	abhäuten	ab	Comp	Comp
schaben	abschaben	schmirgeln	abschmirgeln	ab	Comp	Comp
schälen	abschälen	bröseln	abbröseln	ab	Comp	Comp
schauen	abschauen	gucken	abgucken	ab	ShiftReg	Shift
schleppen	abschleppen	bemühen	abmühen	ab	AsymComp	Comp
schließen	abschließen	riegeln	abriegeln	ab	AsymComp	Comp
schließen	abschließen	wickeln	abwickeln	ab	ShiftDiff	Shift
schmettern	abschmettern	lehnen	ablehnen	ab	ShiftDiff	Shift
schmieren	abschmieren	kacken	abkacken	ab	ShiftDiff	Shift
schmieren	abschmieren	sacken	absacken	ab	ShiftDiff	Shift
schminken	abschminken	schreiben	abschreiben	ab	ShiftDiff	Shift
schminken	abschminken	tun	abtun	ab	ShiftDiff	Shift
schnippeln	abschnippeln	schneiden	abschneiden	ab	Comp	Comp
schnüffeln	abschnüffeln	schnuppern	abschnuppern	ab	Comp	Comp
schreiben	abschreiben	kupfern	abkupfern	ab	ShiftDiff	Shift
schrubben	abschrubben	rubbeln	abrubbeln	ab	Comp	Comp
schütteln	abschütteln	hängen	abhängen	ab	ShiftDiff	Shift
schwatzen	abschwatzen	jagen	abjagen	ab	ShiftDiff	Shift
schweifen	abschweifen	driften	abdriften	ab	ShiftDiff	Shift
schwirren	abschwirren	danken	abdanken	ab	ShiftDiff	Shift
schwirren	abschwirren	hauen	abhauen	ab	ShiftDiff	Shift
senden	absenden	schicken	abschicken	ab	Comp	Comp
servieren	abservieren	wimmeln	abwimmeln	ab	ShiftDiff	Shift
servieren	abservieren	würgen	abwürgen	ab	ShiftDiff	Shift
setzen	absetzen	hauen	abhauen	ab	ShiftDiff	Shift
setzen	absetzen	ziehen	abziehen	ab	ShiftDiff	Shift
sichern	absichern	schirmen	abschirmen	ab	Comp	Comp
specken	abspecken	nehmen	abnehmen	ab	ShiftDiff	Shift
speisen	abspeisen	frühstücken	abfrühstücken	ab	ShiftReg	Shift
speisen	abspeisen	wickeln	abwickeln	ab	ShiftDiff	Shift
springen	abspringen	sagen	absagen	ab	ShiftDiff	Shift
spulen	abspulen	leiern	ableiern	ab	ShiftDiff	Shift
spulen	abspulen	wickeln	abwickeln	ab	ShiftDiff	Shift
stechen	abstechen	murksen	abmurksen	ab	ShiftDiff	Shift
sterben	absterben	töten	abtöten	ab	Comp	Comp
stottern	abstottern	bezahlen	abbezahlen	ab	AsymComp	Comp
stottern	abstottern	rattern	abrattern	ab	ShiftReg	Shift
streifen	abstreifen	schütteln	abschütteln	ab	ShiftDiff	Shift
streifen	abstreifen	suchen	absuchen	ab	AsymComp	Comp
stumpfen	abstumpfen	härten	abhärten	ab	ShiftDiff	Shift
stürzen	abstürzen	schmieren	abschmieren	ab	ShiftDiff	Shift
tauchen	abtauchen	zischen	abzischen	ab	ShiftDiff	Shift
trennen	abtrennen	spalten	abspalten	ab	ShiftReg	Shift
wälzen	abwälzen	laden	abladen	ab	ShiftDiff	Shift
waschen	abwaschen	duschen	abduschen	ab	Comp	Comp
waschen	abwaschen	spülen	abspülen	ab	Comp	Comp
waschen	abwaschen	tupfen	abtupfen	ab	Comp	Comp
waschen	abwaschen	wischen	abwischen	ab	Comp	Comp
weisen	abweisen	schmettern	abschmettern	ab	ShiftDiff	Shift
wetzen	abwetzen	schürfen	abschürfen	ab	Comp	Comp
wickeln	abwickeln	fertigen	abfertigen	ab	ShiftDiff	Shift
wickeln	abwickeln	haken	abhaken	ab	ShiftDiff	Shift
wimmeln	abwimmeln	schwirren	abschwirren	ab	ShiftReg	Shift
wimmeln	abwimmeln	würgen	abwürgen	ab	ShiftDiff	Shift
winken	abwinken	lehnen	ablehnen	ab	ShiftDiff	Shift
wischen	abwischen	schaben	abschaben	ab	Comp	Comp
würgen	abwürgen	wälzen	abwälzen	ab	ShiftDiff	Shift
zeichnen	abzeichnen	malen	abmalen	ab	AsymComp	Comp
ziehen	abziehen	knöpfen	abknöpfen	ab	ShiftDiff	Shift
ziehen	abziehen	nehmen	abnehmen	ab	ShiftDiff	Shift
zischen	abzischen	hauen	abhauen	ab	ShiftDiff	Shift
zischen	abzischen	schwirren	abschwirren	ab	ShiftReg	Shift
zocken	abzocken	nehmen	abnehmen	ab	ShiftDiff	Shift
zocken	abzocken	ziehen	abziehen	ab	ShiftDiff	Shift
zwacken	abzwacken	jagen	abjagen	ab	ShiftDiff	Shift
zwicken	abzwicken	kneifen	abkneifen	ab	ShiftReg	Shift
bauen	anbauen	pflanzen	anpflanzen	an	AsymComp	Comp
beissen	anbeißen	knabbern	anknabbern	an	AsymComp	Comp
bellen	anbellen	kläffen	ankläffen	an	Comp	Comp
bellen	anbellen	meckern	anmeckern	an	Comp	Comp
betteln	anbetteln	schnorren	anschnorren	an	Comp	Comp
betteln	anbetteln	schnorren	anschorren	an	Comp	Comp
bimmeln	anbimmeln	klingeln	anklingeln	an	Comp	Comp
bimmeln	anbimmeln	läuten	anläuten	an	Comp	Comp
blaffen	anblaffen	bellen	anbellen	an	Comp	Comp
blinzeln	anblinzeln	blicken	anblicken	an	Comp	Comp
braten	anbraten	rösten	anrösten	an	Comp	Comp
brausen	anbrausen	meckern	anmeckern	an	AsymComp	Comp
brechen	anbrechen	fangen	anfangen	an	ShiftDiff	Shift
brechen	anbrechen	knacken	anknacken	an	AsymComp	Comp
brüllen	anbrüllen	schreien	anschreien	an	Comp	Comp
drehen	andrehen	lasten	anlasten	an	ShiftDiff	Shift
drehen	andrehen	schneiden	anschneiden	an	AsymComp	Comp
erkennen	anerkennen	rechnen	anrechnen	an	ShiftDiff	Shift
fahren	anfahren	meckern	anmeckern	an	AsymComp	Comp
fahren	anfahren	ranzen	anranzen	an	AsymComp	Comp
fallen	anfallen	greifen	angreifen	an	ShiftDiff	Shift
fangen	anfangen	gehen	angehen	an	ShiftDiff	Shift
fassen	anfassen	langen	anlangen	an	Comp	Comp
fechten	anfechten	greifen	angreifen	an	ShiftDiff	Shift
fechten	anfechten	kämpfen	ankämpfen	an	AsymComp	Comp
fechten	anfechten	zweifeln	anzweifeln	an	AsymComp	Comp
feuern	anfeuern	brennen	anbrennen	an	AsymComp	Comp
feuern	anfeuern	spitzen	anspitzen	an	AsymComp	Comp
feuern	anfeuern	spornen	anspornen	an	AsymComp	Comp
feuern	anfeuern	stacheln	anstacheln	an	ShiftDiff	Shift
flehen	anflehen	winseln	anwinseln	an	Comp	Comp
flicken	anflicken	löten	anlöten	an	Comp	Comp
fliegen	anfliegen	schwirren	anschwirren	an	Comp	Comp
flitzen	anflitzen	sausen	ansausen	an	Comp	Comp
flunkern	anflunkern	schwindeln	anschwindeln	an	Comp	Comp
fügen	anfügen	bringen	anbringen	an	ShiftDiff	Shift
gaffen	angaffen	glotzen	anglotzen	an	Comp	Comp
graben	angraben	baggern	anbaggern	an	ShiftReg	Shift
gucken	angucken	peilen	anpeilen	an	Comp	Comp
hängen	anhängen	heften	anheften	an	AsymComp	Comp
hängen	anhängen	klammern	anklammern	an	AsymComp	Comp
hängen	anhängen	löten	anlöten	an	AsymComp	Comp
hängen	anhängen	schließen	anschließen	an	ShiftDiff	Shift
hauen	anhauen	schnorren	anschnorren	an	AsymComp	Comp
hauen	anhauen	zapfen	anzapfen	an	AsymComp	Comp
häufen	anhäufen	sammeln	ansammeln	an	Comp	Comp
häufen	anhäufen	schwellen	anschwellen	an	Comp	Comp
heben	anheben	lupfen	anlupfen	an	Comp	Comp
heften	anheften	klammern	anklammern	an	Comp	Comp
heizen	anheizen	feuern	anfeuern	an	ShiftReg	Shift
heizen	anheizen	spornen	anspornen	an	AsymComp	Comp
hupen	anhupen	klingeln	anklingeln	an	Comp	Comp
keifen	ankeifen	bellen	anbellen	an	Comp	Comp
ketten	anketten	binden	anbinden	an	Comp	Comp
kleben	ankleben	leimen	anleimen	an	Comp	Comp
kleistern	ankleistern	kleben	ankleben	an	Comp	Comp
klopfen	anklopfen	pochen	anpochen	an	Comp	Comp
knoten	anknoten	binden	anbinden	an	Comp	Comp
knüpfen	anknüpfen	knoten	anknoten	an	AsymComp	Comp
knüpfen	anknüpfen	schließen	anschließen	an	ShiftDiff	Shift
knurren	anknurren	brüllen	anbrüllen	an	Comp	Comp
knurren	anknurren	schnauzen	anschnauzen	an	Comp	Comp
kochen	ankochen	braten	anbraten	an	Comp	Comp
kotzen	ankotzen	ekeln	anekeln	an	AsymComp	Comp
kreiden	ankreiden	lasten	anlasten	an	ShiftDiff	Shift
kriechen	ankriechen	pirschen	anpirschen	an	AsymComp	Comp
kullern	ankullern	rollen	anrollen	an	Comp	Comp
kündigen	ankündigen	deuten	andeuten	an	AsymComp	Comp
kurbeln	ankurbeln	zapfen	anzapfen	an	AsymComp	Comp
labern	anlabern	quatschen	anquatschen	an	Comp	Comp
lachen	anlachen	machen	anmachen	an	ShiftDiff	Shift
lackieren	anlackieren	streichen	anstreichen	an	Comp	Comp
laufen	anlaufen	fangen	anfangen	an	ShiftDiff	Shift
laufen	anlaufen	rennen	anrennen	an	AsymComp	Comp
läuten	anläuten	klingeln	anklingeln	an	Comp	Comp
legen	anlegen	pöbeln	anpöbeln	an	AsymComp	Comp
leimen	anleimen	kleistern	ankleistern	an	Comp	Comp
lernen	anlernen	eignen	aneignen	an	AsymComp	Comp
lügen	anlügen	flunkern	anflunkern	an	Comp	Comp
machen	anmachen	baggern	anbaggern	an	ShiftDiff	Shift
machen	anmachen	knipsen	anknipsen	an	AsymComp	Comp
machen	anmachen	pöbeln	anpöbeln	an	AsymComp	Comp
malen	anmalen	lackieren	anlackieren	an	Comp	Comp
malen	anmalen	zeichnen	anzeichnen	an	Comp	Comp
marschieren	anmarschieren	traben	antraben	an	Comp	Comp
merken	anmerken	abringen	anbringen	an	ShiftDiff	Shift
merken	anmerken	deuten	andeuten	an	AsymComp	Comp
mieten	anmieten	kaufen	ankaufen	an	Comp	Comp
montieren	anmontieren	flicken	anflicken	an	Comp	Comp
murren	anmurren	knurren	anknurren	an	Comp	Comp
nähern	annähern	paddeln	anpaddeln	an	Comp	Comp
peilen	anpeilen	streben	anstreben	an	AsymComp	Comp
peilen	anpeilen	visieren	anvisieren	an	Comp	Comp
peitschen	anpeitschen	feuern	anfeuern	an	ShiftDiff	Shift
peitschen	anpeitschen	heizen	anheizen	an	ShiftDiff	Shift
pesen	anpesen	rennen	anrennen	an	Comp	Comp
pfeifen	anpfeifen	fauchen	anfauchen	an	AsymComp	Comp
pinnen	anpinnen	heften	anheften	an	Comp	Comp
pinseln	anpinseln	malen	anmalen	an	Comp	Comp
pinseln	anpinseln	streichen	anstreichen	an	Comp	Comp
pissen	anpissen	machen	anmachen	an	ShiftDiff	Shift
pissen	anpissen	pinkeln	anpinkeln	an	AsymComp	Comp
pissen	anpissen	pöbeln	anpöbeln	an	AsymComp	Comp
pissen	anpissen	rempeln	anrempeln	an	AsymComp	Comp
preisen	anpreisen	bieten	anbieten	an	Comp	Comp
preschen	anpreschen	flitzen	anflitzen	an	Comp	Comp
pumpen	anpumpen	betteln	anbetteln	an	AsymComp	Comp
pumpen	anpumpen	saugen	ansaugen	an	AsymComp	Comp
pumpen	anpumpen	schnorren	anschorren	an	AsymComp	Comp
pumpen	anpumpen	zapfen	anzapfen	an	AsymComp	Comp
ranzen	anranzen	schnauzen	anschnauzen	an	AsymComp	Comp
raten	anraten	empfehlen	anempfehlen	an	Comp	Comp
rattern	anrattern	rasseln	anrasseln	an	Comp	Comp
reisen	anreisen	kommen	ankommen	an	Comp	Comp
reißen	anreißen	brechen	anbrechen	an	ShiftReg	Shift
reißen	anreißen	stechen	anstechen	an	AsymComp	Comp
rempeln	anrempeln	pöbeln	anpöbeln	an	Comp	Comp
rennen	anrennen	schleichen	anschleichen	an	Comp	Comp
rufen	anrufen	klingeln	anklingeln	an	AsymComp	Comp
rufen	anrufen	läuten	anläuten	an	AsymComp	Comp
rühren	anrühren	fassen	anfassen	an	AsymComp	Comp
sagen	ansagen	moderieren	anmoderieren	an	AsymComp	Comp
sammeln	ansammeln	füllen	anfüllen	an	Comp	Comp
sammeln	ansammeln	sparen	ansparen	an	Comp	Comp
sammeln	ansammeln	wachsen	anwachsen	an	Comp	Comp
sausen	ansausen	preschen	anpreschen	an	Comp	Comp
schaffen	anschaffen	kaufen	ankaufen	an	AsymComp	Comp
schaffen	anschaffen	liefern	anliefern	an	AsymComp	Comp
schaffen	anschaffen	mieten	anmieten	an	AsymComp	Comp
schalten	anschalten	knipsen	anknipsen	an	Comp	Comp
scheißen	anscheißen	fahren	anfahren	an	ShiftDiff	Shift
scheißen	anscheißen	meckern	anmeckern	an	AsymComp	Comp
scheißen	anscheißen	ranzen	anranzen	an	ShiftDiff	Shift
scheißen	anscheißen	schnauzen	anschnauzen	an	AsymComp	Comp
schleichen	anschleichen	pirschen	anpirschen	an	Comp	Comp
schließen	anschließen	fügen	anfügen	an	ShiftDiff	Shift
schmiegen	anschmiegen	kuscheln	ankuscheln	an	Comp	Comp
schmieren	anschmieren	schmutzen	anschmutzen	an	AsymComp	Comp
schmieren	anschmieren	schwärzen	anschwärzen	an	ShiftDiff	Shift
schubsen	anschubsen	stupsen	anstupsen	an	Comp	Comp
schwellen	anschwellen	füllen	anfüllen	an	Comp	Comp
schwellen	anschwellen	stauen	anstauen	an	Comp	Comp
schwimmen	anschwimmen	segeln	ansegeln	an	Comp	Comp
schwindeln	anschwindeln	lügen	anlügen	an	Comp	Comp
schwirren	anschwirren	stampfen	anstampfen	an	AsymComp	Comp
sparen	ansparen	häufen	anhäufen	an	Comp	Comp
sparen	ansparen	stauen	anstauen	an	Comp	Comp
spielen	anspielen	deuten	andeuten	an	AsymComp	Comp
spitzen	anspitzen	stacheln	anstacheln	an	Comp	Comp
spornen	anspornen	stacheln	anstacheln	an	Comp	Comp
sprühen	ansprühen	pinseln	anpinseln	an	Comp	Comp
spülen	anspülen	schwemmen	anschwemmen	an	AsymComp	Comp
stampfen	anstampfen	kommen	ankommen	an	Comp	Comp
starren	anstarren	gaffen	angaffen	an	Comp	Comp
starren	anstarren	glotzen	anglotzen	an	Comp	Comp
stecken	anstecken	zünden	anzünden	an	AsymComp	Comp
stinken	anstinken	kotzen	ankotzen	an	ShiftDiff	Shift
stoßen	anstoßen	stupsen	anstupsen	an	AsymComp	Comp
strahlen	anstrahlen	grinsen	angrinsen	an	AsymComp	Comp
streichen	anstreichen	malen	anmalen	an	Comp	Comp
traben	antraben	galoppieren	angaloppieren	an	Comp	Comp
treten	antreten	fangen	anfangen	an	ShiftDiff	Shift
vertrauen	anvertrauen	befehlen	anbefehlen	an	AsymComp	Comp
visieren	anvisieren	streben	anstreben	an	Comp	Comp
wachsen	anwachsen	häufen	anhäufen	an	Comp	Comp
werben	anwerben	mieten	anmieten	an	Comp	Comp
werfen	anwerfen	schmeisen	anschmeisen	an	ShiftReg	Shift
zapfen	anzapfen	schnorren	anschorren	an	Comp	Comp
zapfen	anzapfen	stechen	anstechen	an	Comp	Comp
ziehen	anziehen	kleiden	ankleiden	an	AsymComp	Comp
zielen	anzielen	streben	anstreben	an	Comp	Comp
zischen	anzischen	fauchen	anfauchen	an	AsymComp	Comp
zischen	anzischen	pfeifen	anpfeifen	an	AsymComp	Comp
addieren	aufaddieren	rechnen	aufrechnen	auf	Comp	Comp
addieren	aufaddieren	runden	aufrunden	auf	Comp	Comp
arbeiten	aufarbeiten	holen	aufholen	auf	ShiftDiff	Shift
atmen	aufatmen	schnaufen	aufschnaufen	auf	AsymComp	Comp
baggern	aufbaggern	buddeln	aufbuddeln	auf	Comp	Comp
bauen	aufbauen	helfen	aufhelfen	auf	AsymComp	Comp
bauschen	aufbauschen	blähen	aufblähen	auf	AsymComp	Comp
begehren	aufbegehren	lehnen	auflehnen	auf	ShiftDiff	Shift
betonieren	aufbetonieren	mauern	aufmauern	auf	Comp	Comp
binden	aufbinden	schwätzen	aufschwätzen	auf	ShiftDiff	Shift
